,0
377,"VP, Technical Lead, Investment & Trading Technology, Technology & Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Job Purpose As part of the Bank's digital transformation strategy, we're lookin
Full time
21 hours ago

Competitive"
378,"AVP, SDLC Process Quality Assurance Manager, Technology & Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Quality Assurance Process Improvement Perform system
Full time
21 hours ago

Competitive"
379,"MSS Director APAC Escalation and Oversight
Save
Citi Singapore
Key Responsibilities Assist in establishing the Escalation and Oversight framework and process to ensure effective, transparent, consistent timely escalation by MSS across the Business, Legal Entity, Country, Region, and Control Function channels in APAC. Drive consistency, streamline governance forum structure and process across MSS APAC, as well as coordinate with ICG on related work-streams in the region. Establish Legal Entity governance process for MSS in APAC, i.e. Singapore Accountabil
Full time
21 hours ago

Competitive"
380,"Fraud Risk Officer - Vice President
Save
Citi Singapore
The role is to serve as an Independent Fraud Risk Officer to support the fraud risk analytics oversight and challenge for the APAC Region. The Global Independent Fraud Risk (GIFR) organization is accountable for the design and maintenance of the Citi Fraud Risk Management Policy, the Fraud Risk Management Standards (FRMS), Fraud Risk Management Principles (FRMP) and providing consultation and effective challenge for Fraud Risk Analytics, Tools, Technologies as we ll as Operational Risk Reviews.
Full time
21 hours ago

Competitive"
381,"Banking & Custody Product specialist - Private Bank
Save
Citi Singapore
The Banking and Custody Lead is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering their application in own job and the business. Recognized technical authority for an area within the business. Requires basic commercial awareness.There are typically multiple people within the business that provide the same level of subject matter expertise. Developed communication and diplomacy skills are required in order to guide,
Full time
21 hours ago

Competitive"
382,"Digital Wealth Advisory - Product Manager
Save
Citi Singapore
The Product Manager is an intermediate management level position responsible for managing a broad range of product management employees, setting strategy, and providing direction, leadership and budgetary management, etc. Additionally, this role will be responsible for the development of product plans, strategies, and tactics while coordinating product lines through product life-cycles in coordination with the broader Product Management team. The candidate will be joining the Regional Wealth
Full time
21 hours ago

Competitive"
383,"VP3, Digital Wealth Product Manager, Digital Business, Global Consumer Financial Services
Save
OCBC Bank Singapore
The candidate being sought is to replace the product owner for Digital Wealth in the Digital Business team. He / she should have strong domain knowledge of wealth management as well as mobile and digital technologies and landscape. This has to be coupled with strong engagement and collaboration skills with product managers and partners. Roles & Responsibilities: - Define strategy, roadmap and drive delivery of KPIs for Digital Wealth franchise - Manage and drive digital projects/capabilit
Full time
21 hours ago

Competitive"
384,"Corporate Banking Compliance AML Compliance Officer (1 year contract)
Save
OCBC Bank Singapore
Perform On-boarding, Periodic and Triggering Customer Due Diligence (CDD)/Enhanced Due Diligence (EDD) review on Global Corporate Banking customers Ensure completion of Periodic and Triggering Event Reviews within stipulated timeframe and in line with Bank's policy and procedures Ensure timely update of CDD/EDD Tracking file so as to reflect the accurate status Perform daily AML alert closures raised on the Bank's screening system Administrative duties on behalf of the wider team including Power
Full time
21 hours ago

Competitive"
385,"Technology Risk & Automation Engineer
Save
OCBC Bank Singapore
Roles & Responsibilities 1. Infrastructure Automation - Good knowledge with hands-on experience in the following technologies Working knowledge of Unix and Windows OS , Virtualization, Security, Middleware technologies, Microservices Good and Fair understanding of the Automation and Orchestration skills: HP Server Automation, HP Operations Orchestration, HP Cloud Service Automation Shell scripting, Powershell, Python, Python Selenium to design security orchestration workflows Ex
Full time
21 hours ago

Competitive"
386,"Digital Payments Product Manager, Group Lifestyle Financing, Global Consumer Financial Services
Save
OCBC Bank Singapore
Job Description We are seeking for a Product Manager / Lead that takes care of the Digital Payments Portfolio, which includes structuring product developments on OCBC Pay Anyone. This includes enhancing the Core Product proposition and enriching the Eco-system play with external merchants / industry verticals to increase the stickiness and usage of the customer base. The candidate should be familiar with internet, mobile technologies and innovations to effectively evaluate solutions prop
Full time
21 hours ago

Competitive"
387,"SGUT/SGUP - Sanctions Compliance Officer (9 months Traineeship)
Save
OCBC Bank Singapore
This is a position in the Group Sanctions Team. The team is responsible to establish the framework, policies and procedures for the OCBC Group to effectively manage sanctions risks and provides sanctions advisory, training, updates on key developments and clearance of sanctions screening hits on wire and trade payments for the Business Units. Responsibilities would include: - Participating in sanctions-related projects and initiatives under the OCBC Strategic Uplift project both in Singapor
Full time
21 hours ago

Competitive"
388,"SGUnited Traineeship -Grp Risk Mgt/ Group Data Management Office - Data Management Trainee (6 months)
Save
OCBC Bank Singapore
Job Description: This role provides an opportunity for the trainee to gain knowledge in the data management and governance domain, and help the department to meet its objectives of enabling the bank to effectively leverage on data as an enterprise asset and support its strategic decision-making. This will enable the trainee to understand the data management concepts and technicalities surrounding taxonomy, glossary, data lineage and data quality which are essential for banking industry to me
Full time
21 hours ago

Competitive"
389,"Premier Mortgage Specialist - Consumer Secured Lending, Global Consumer Financial Services
Save
OCBC Bank Singapore
We are looking for experienced mortgage specialists & bankers to join our team focusing on our HNW clients in our Premier Banking segment With emphasis on accurately profiling customers' needs, you will actively promote home loans to the customers in the affluent segment through alliance and referral by agents, lawyers and developers You will identify and maximise sales opportunities, and will also proactively build and manage long-term customer relationships as well as provide good afte
Full time
21 hours ago

Competitive"
390,"Client Onboarding Product Owner, Digital Transformation, Global Consumer Financial Services
Save
OCBC Bank Singapore
Job description: The digital revolution is upon us and it's everywhere - transforming how we work and play. Are you reacting to the disruption each day or are you leading the way as a digital disrupter? We are a team of high-performing change leaders for OCBC consumer bank's digital revolution and seek passionate self-starters with curious minds and unflinching tenacity to join us! As fearless transformers, we dive into problem statements with our customers and internal partners to
Full time
21 hours ago

Competitive"
391,"Digital Onboarding Product Owner, Digital Business, Global Consumer Financial Services
Save
OCBC Bank Singapore
The role is to drive and execute projects for digital sales & customer onboarding Roles & Responsibilities: - Drive and execute digital sales and customer onboarding projects for internet and mobile banking channels - Innovate through working closely with Product Managers, CX, partners to develop requirements and biz models - Document business requirements and liaise with internal & external stakeholders - Evaluate solutions proposed by IT /vendors / partners, raise business paper an
Full time
21 hours ago

Competitive"
392,"AVP, Digital Wealth Product Manager, Digital Business, Global Consumer Financial Services
Save
OCBC Bank Singapore
Define strategy, roadmap and drive delivery of KPIs for Digital Wealth franchise Manage and drive digital projects/capability builds under Digital Wealth agenda covering all asset classes and platforms Lead and coach team to achieve business objectives-deliver cost and revenue objectives Evaluate solutions proposed by IT, vendors / partners and make necessary recommendations Engage business units and support partners to foster collaboration and teamwork to meet the business objectives of
Full time
21 hours ago

Competitive"
393,"HR Relationship Manager (7 months Contract)
Save
OCBC Bank Singapore
HR Relationship Manager is responsible for providing guidance in people matters to support the business strategy and goals. As a HRRM, you are expected to: Advise, support and partner line managers and employees on HR related matters. Such matters would include resourcing, performance management, talent development, rewards and recognition, employee engagement and relations. Build strong partnership with business line managers and employees to effectively champion and implement HR programmes
Full time
21 hours ago

Competitive"
394,"Finance Manager - OCBC Property Services
Save
OCBC Bank Singapore
- Analysing and preparing monthly financials to Head office - Assisting the Head, Finance to ensure compliance of internal and accounting controls - Collecting rental-in-arrears from tenants - Managing a team of Finance executives and non-executives - Coordinating submissions to head office - Preparing reports for Operational Risk Management Qualifications - 8 or more years in handling full set of accounts - Possess a Degree in Accounting or Equivalent - Experience with Corporate go
Full time
21 hours ago

Competitive"
395,"Open Banking Product Owner, Digital Business, Global Consumer Financial Services
Save
OCBC Bank Singapore
The candidate being sought is to be the product owner for OpenBanking in the Digital Business team. He / she should have strong domain knowledge of mobile banking and digital technologies and landscape. This has to be coupled with strong engagement and collaboration skills with product managers and partners. Roles & Responsibilities: - Define strategy, roadmap and drive delivery of KPIs for Digital Channels, particularly Mobile Banking - Manage and drive digital projects/capability build
Full time
21 hours ago

Competitive"
396,"IT Project Manager
Save
OCBC Bank Singapore
As part of the Technology Service Delivery group, the Project Manager holds the overall responsibility and accountability for project delivery assigned to him/her . He/she should work in partnership with stakeholders across the OWHB and Group to deliver projects to the agreed scope, schedule, budget and quality. Responsibilities: Establish project plans, resources, budgets, risk, issue and timeframes. Identify, track and communicate project progress, milestones, deliverables chang
Full time
21 hours ago

Competitive"
397,"Citi Private Bank Risk Manager SCO, Director
Save
Citi Singapore
The Credit Portfolio Senior Officer II is a senior-level position responsible for leading activities including credit review, credit approvals and monitoring the portfolio to identify credit migration in coordination with the Citi Private Bank Risk Management team. The overall objective of this role is to manage Citi's portfolio exposure to client and counterparties globally. Responsibilities: Lead risk management activities associated with the Citi Private Bank credit portfolio Validat
Full time
21 hours ago

Competitive"
398,"Systems Analyst - Treasury & Market Risk, Group Operations & Technology
Save
OCBC Bank Singapore
Job Description Support Treasury and Market Risk IT applications in the bank. Provide on-call support and after-hours/weekend support as needed, covering application support and application change deployment. Work with cross functional teams to identify and resolve root cause of a problem. Work with users and vendor on issues, follow up and resolution for IT applications. Ensure timely updates to support cases. Testing of application, database, operating system patches. Perform system
Full time
21 hours ago

Competitive"
399,"Cyber Penetration Testing Specialist, Technology Information Security Office
Save
OCBC Bank Singapore
Job Description Perform application penetration testing on web based application and thick-client application Perform mobile application penetration testing across different mobile platforms Perform network penetration testing on systems Exploit vulnerabilities to gain access, and expand access to remote systems Document technical issues and recommend mitigation controls identified during security assessments Research cutting edge security topics and new attack vendors C
Full time
21 hours ago

Competitive"
400,"Cyber Penetration Testing Specialist, Technology Information Security Office
Save
OCBC Bank Singapore
Job Description Perform application penetration testing on web based application and thick-client application Perform mobile application penetration testing across different mobile platforms Perform network penetration testing on systems Exploit vulnerabilities to gain access, and expand access to remote systems Document technical issues and recommend mitigation controls identified during security assessments Research cutting edge security topics and new attack vendors C
Full time
21 hours ago

Competitive"
401,"ETL developer, Group Operations & Technology
Save
OCBC Bank Singapore
The candidate will be responsible for working with internal users from all the entities across regions to gather user requirements, design, propose end to end enhancement solution and delivered the approved solution conforming to the bank technology architecture guidelines, technology security standards and IT management process. General Responsibilities Demonstrates commitment to company mission, vision and values through professional conduct and individual job performance. Influencing r
Full time
21 hours ago

Competitive"
402,"Big Data Engineer, Group Operations & Technology
Save
OCBC Bank Singapore
The candidate will be responsible for working with a portfolio of internal users to gather user requirements, design, propose enhancement solution and delivered the approved solution which conform to the bank's technology architecture guidelines, technology information security standard and IT management process. Work closely with key stakeholders to gather requirements, design and propose solutions with follow-up to deliver application enhancements. Able to perform system impact assessment f
Full time
21 hours ago

Competitive"
403,"System Analyst -Credit Processing and Wealth Management, Group Operations & Technology
Save
OCBC Bank Singapore
The candidate will be responsible for working with a portfolio of internal users to gather user requirements, design, propose enhancement solution and delivered the approved solution which conform to the bank's technology architecture guidelines, technology information security standard and IT management process. Work closely with key stakeholders to gather requirements, design and propose solutions with follow-up to deliver application enhancements. Able to perform system impact assessment f
Full time
21 hours ago

Competitive"
404,"System Analyst - Correspondence and eStatement Management System , Group Operations & Technology
Save
OCBC Bank Singapore
The candidate will be responsible for working with a portfolio of internal users to gather user requirements, design, propose enhancement solution and delivered the approved solution which conform to the bank's technology architecture guidelines, technology information security standard and IT management process. Work closely with key stakeholders to gather requirements, design and propose solutions with follow-up to deliver application enhancements. Able to perform system impact assessment f
Full time
21 hours ago

Competitive"
405,"CRM Business Analyst, Digital Transformation, Global Consumer Financial Services
Save
OCBC Bank Singapore
- Support System Enhancements in CRM Systems, ideally on Pega platform - Responsible to Plan and Manage Regression Testing - Prepare Test Plan, Scope, Scenarios, Scripts and Data - Supervise and Manage Testers and Review Test Results - Support Pre & Post Implementation Activities including monitoring System Performance and following up on Issues Encountered by Users - Track and Manage Production Issues including working with Users and IT to resolve them - Track and Manage Production
Full time
21 hours ago

Competitive"
406,"Finance Officer (AM), OSPL - Finance (Corporate Services)
Save
OCBC Bank Singapore
Roles and Responsibilities: Accounting services including reconciliation, reporting and processing of journal entries/ fund transfers Support the finance department's transformation and change agenda Other tasks/duties as assigned Ensure processing/adjustments to general ledger and product systems are done accurately. Reporting to AVP, Finance Qualifications Requirements: Degree in Accountancy or Business Minimum 2 years related experience from a brokerage or fi
Full time
21 hours ago

Competitive"
407,"Rates Strategist (AVP/VP), Treasury Research, Global Treasury
Save
OCBC Bank Singapore
Roles and Responsibilities You will be responsible for rates research, analysis and strategy recommendations for both internal and external clients. You will model and forecast interest rates and relevant market indicators for key economies, and publish frequent research reports and trading recommendations as part of the FX and Rates strategy team. You will front economic presentations and seminars for both internal and external customers, as well as maintain a media profile. Report
Full time
21 hours ago

Competitive"
408,"Senior Analyst, Valuation Control (6 months contract), TFCA, Group Finance
Save
OCBC Bank Singapore
The Valuation Control (VC) Team is part of the Treasury Financial Control department, which falls under the Group Finance Division in the Bank. The main tasks of the VC Team include formulation and reviewing of valuation adjustment policies and methodologies as well as performing independent price verification processes. The successful candidate will be joining the VC team mainly responsible for formulating and implementing new valuation adjustments methodologies and involving in process impro
Full time
21 hours ago

Competitive"
409,"Social Media Manager (1-year contract)
Save
OCBC Bank Singapore
We are looking for someone with strong interest in running and measuring success of social media initiatives. You will be responsible for helping maintain and operationalise policies related to social and digital media. You will work with agencies, vendors and platforms to develop and improve on best practices to communicate more effectively. You must be an innovative and imaginative individual, comfortable working with some degree of ambiguity and the constant learning and re-learning required
Full time
21 hours ago

Competitive"
410,"Contract Executive, OSPL - Finance (Corporate Services)
Save
OCBC Bank Singapore
Roles and Responsibilities: Salesforce payroll processing and administration. Journal entries, reporting and reconciliation tasks for the Equities and Futures/FX business. Support the finance department's transformation and change agenda. Other tasks as assigned. Reporting to AVP, Finance Qualifications Requirements: Degree holder in Accountancy or Business. Work experience from a brokerage or financial institution preferred. Proficient in Microsoft Excel, W
Full time
21 hours ago

Competitive"
411,"Relationship Manager (AVP) - Wholesale Corporate Marketing (Transportation - Shipping & Logistics)
Save
OCBC Bank Singapore
Responsibilities Assist in managing a portfolio of customers in the Transportation (Shipping & Logistics) sector Assist in preparing credit proposals for new borrowing customers and conduct credit reviews for credit facilities extended to existing customers *LI-VN Qualifications Requirements Degree in Accounting/Business with at least 5 years of relevant work experience Good understanding of financial accounts and strong credit analytical skills Ability to writ
Full time
21 hours ago

Competitive"
412,"Technology Business Analyst (Consumer Banking), Group Operations and Technology
Save
OCBC Bank Singapore
Act as a SME in the respective domains with sufficient knowledge to interact, solicit requirements, and advise senior-level business users Work very closely with business users and project team members on solutioning/project initiation, implementation and post-implementation support Lead solutioning effort and help develop compelling and innovative solutions while complying with existing standards, guidelines, and processes Perform Business Analysis and lead the requirements gathering w
Full time
21 hours ago

Competitive"
413,"AVP - Futures, FX & CFDs Sales (OSPL - FFX & CFDs - Business Development)
Save
OCBC Bank Singapore
Roles and Responsibilities: Perform sales & sales support activities to achieve mainly B2B business and customer acquisition goals Implement tactical plans to expand customer base Participate in the company's marketing activities and promotional campaigns for customer acquisition Work with various Exchanges and partners to hold seminars and conduct marketing events Source and establish contact with prospects through customer and staff/Trading Representatives' referrals Attend to prospects or
Full time
21 hours ago

Competitive"
414,"Digital Enterprise Architect
Save
OCBC Bank Singapore
Role The digital enterprise architect is responsible manage all architecture aspects of a vertical functional domain, including participation in design, endorsement of solutions, review of projects, tracking of roadmaps and obs olescence management. In this role, the digital enterprise architect will work closely with O&T Vertical Heads, Business and System analysts, Project managers, Infrastructure specialists and other Architects. He will also liaise with 3 rd party vendors when solut
Full time
21 hours ago

Competitive"
415,"Premier Private Client - Desk Head (Offshore North Asia)
Save
OCBC Bank Singapore
OCBC Premier Private Client is OCBC's exclusive wealth management platform. It offers our Asia-centric, high net worth clients the best of our private banking and consumer banking capabilities. Besides enjoying priority access to our vast banking facilities, our clients can customize bespoke investment solutions catering to their unique needs, previously only available to clients of Bank of Singapore. They also receive dedicated advisory support and insights from the award winning OCBC Wealth Pa
Full time
21 hours ago

Competitive"
416,"Business Continuity Manager, Operational Risk Management
Save
OCBC Bank Singapore
The Business Continuity Manager works with a team of Business Continuity Management (BCM) professionals in the management of the Group BCM program. The BCM Manager will work with various business units and subsidiaries in the Group to ensure the currency of business continuity planning, training, testing and attestation. The incumbent will also be a key member during incidents and crisis events, working closely with the various incident response team in the formulation of appropriate responses,
Full time
21 hours ago

Competitive"
417,"Team Head, Credit Adminstration, OCBC Yangon Branch
Save
OCBC Bank Singapore
Credit Administration: To provide timely, accurate and effective credit administrative support to business units To review for correctness of loan documents against Credit Proposition and completeness of condition precedent items prior to activation of facilities To ensure proposed credit facilities/conditions adhere with the Bank's policy guidelines, conditions of approvals and legal requirement and necessary approval have been obtained To work with business units, lawyers and p
Full time
21 hours ago

Competitive"
418,"Market Risk Analyst, MRM - Risk Control & Analysis
Save
OCBC Bank Singapore
1. Build rapport and work closely with front office to analyse and understand the market risk exposures, mainly well versed in credit & interest rate products. 2. Monitor risk against pre-set risk limits. This entails preparing the daily risk reports and assessing the completeness and accuracy of market risks. 3. Analyse risk reports by explaining the trading & banking positions/activities, understanding trading and hedging strategies as well as banking book risk. 4. Analyse P&L reports by a
Full time
21 hours ago

Competitive"
419,"AVP, Business Analyst (Corporate Banking - Trade & Supply Chain Management)
Save
OCBC Bank Singapore
Description Act as a SME in the respective domains with sufficient knowledge to interact, solicit requirements, and advise senior-level business users Be the bridge between Business and Technology team during solution and all phases of SDLC and/or Agile/SCRUM sprints/delivery. Work very closely with business users and project team members on solutioning/project initiation, implementation and post-implementation support Lead solutioning effort and help develop compelling and innovati
Full time
21 hours ago

Competitive"
420,"AVP, Portfolio Analyst
Save
OCBC Bank Singapore
Job Description: Develop and produce management reporting for the Board Risk and Credit Committees of the Bank on Wholesale portfolio Provide quantitative analysis and translate data into meaningful insights to support Chief Credit Officers and Senior Credit Officers on various industry portfolios Produce the monthly dashboards by various segments to Risk Management and Business Units Work with all subsidiaries in collating the information on default loans and prepare the Qlikview
Full time
21 hours ago

Competitive"
421,"Full Stack Developer, Group Operations & Technology
Save
OCBC Bank Singapore
Work closely with key stakeholders to deliver projects and solutions. Design high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance. Perform development from client (mobile), server-end applications and database table creation, stored procedures scripting. Provide support to SIT and UAT, investigate and resolve technical issues reported in projects. Conduct system and performance management, application vulnerability management and c
Full time
21 hours ago

Competitive"
422,"System Analyst -Payment, Group Operations & Technology
Save
OCBC Bank Singapore
The successful candidate will assume the role of System Analyst (SA) in Payments domain. He / She shall be a technical specialist who possesses sound technical knowledge about instant / high-value / low-value payments processing, application system design and management. The successful candidate will be responsible for working with a portfolio of internal users to gather user requirements, design, propose enhancement solution and delivered the approved solution which conform to the bank's te
Full time
21 hours ago

Competitive"
423,"Pega System Analyst
Save
OCBC Bank Singapore
Design banking applications using Pega platform and delivering high-quality applications. Responsible and perform end-to-end development for Pega based applications. Work closely with key stakeholders to deliver projects and solutions. Provide support to SIT and UAT, investigate and resolve technical issues reported in projects. Conduct system and performance management, application vulnerability management and control, software release management. Plan and commission production system implemen
Full time
21 hours ago

Competitive"
424,"Microservices Developer, Group Operations & Technology
Save
OCBC Bank Singapore
RESPONSIBILITIES Design and build function-centric solutions in the context of transition from traditional, legacy platforms to microservices architectures Define and refactor multi-channel client architecture offering and providing differentiated end-user experiences by leveraging containerization and cloud technology Outline the governance and microservices development guiding principles as well as ensuring the best practices are followed by the development team Work collaboratively
Full time
21 hours ago

Competitive"
425,"Business Analyst (Human Resources), Group Operations & Technology
Save
OCBC Bank Singapore
• Act as a SME in the respective domains with sufficient knowledge to interact, solicit requirements, and advise senior-level business users • Work very closely with business users and project team members on solutioning/project initiation, implementation and post-implementation support • Lead solutioning effort and help develop compelling and innovative solutions while complying with existing standards, guidelines, and processes • Perform Business Analysis and lead the requirements gathering
Full time
21 hours ago

Competitive"
426,"Business Analyst - Technology Solutions - Corporate (Digital Banking)
Save
OCBC Bank Singapore
Job Description: Support business partners as an IT partner in defining their digital roadmap/strategy Support business in providing cost effective/practical solutions that meet their digital strategies Conduct peer bank/industry review of digital banking/mobility and related trends and provide advice/insights to Business and IT seniors To be able to effectively and efficiently engage business to capture/discuss requirement To be able to elicit requirements from business to ensure c
Full time
21 hours ago

Competitive"
427,"Product Manager - Insurance process, controls, governance, and system
Save
Citi Singapore
The Product Manager is an intermediate management level position responsible for the development of product plans, strategies, and tactics while coordinating product lines through product life-cycles in coordination with the broader Product Management team and cross functions stakeholders. The primary role is looking after controls, governance, process, insurance application and system. Responsibilities Responsible on system maintenance and upgrades on key insurance application and system
Full time
21 hours ago

Competitive"
428,"IT Project Manager (Operations)
Save
OCBC Bank Singapore
IT Project Manager As part of the Project Office of Operations, the Project Manager holds the overall responsibility and accountability for IT project management for Operation related projects. He/she should work in partnership with operation users and common service teams to deliver projects to agreed scope, schedule, budget and quality. Create project plans of scope, resource, budget, schedule and assign tasks Identify, track and communicate project progress, milestones, delive
Full time
21 hours ago

Competitive"
429,"AVP, OSPL - Project Management & Post Trade
Save
OCBC Bank Singapore
Roles and Responsibilities: Manage Equities' Post trade Projects and support various data integration and data analytic initiatives. Play the role of User Project Manager/User lead - Consolidate and Mange user requirements from various business units; plan and execute UAT for Post trade projects and other initiatives assigned from time to time Manage SGX ST initiatives that has impact on the post-trade systems Support BUs in Equity Clearing, Settlement, Custody and Corporate Action r
Full time
21 hours ago

Competitive"
430,"Trade Finance Operations (Team Lead)
Save
OCBC Bank Singapore
Responsibilities: Overall responsibility in managing Trade Operations (Global) Develops and executes operational plans in support of long-term business and transformation objectives Exhibits full knowledge and thorough understanding of the entire Trade Operations functions across multiple locations/markets. Ensure robust internal controls in the operations and work closely with stakeholders, auditors on issues relating to Operational Risk Work with product and business partners and
Full time
21 hours ago

Competitive"
431,"AVP, OSPL - Global Markets & Connectivity
Save
OCBC Bank Singapore
Roles and Responsibilities: Function as a key point of contact for Vendors and Exchanges relating to Market Data Administration Coordinate between OCBC entities on Vendors/Exchanges matters and manage vendor relationships Drive market data related promotions, cost savings and projects to streamline processes Ensure timely payment to Vendors and Exchanges Handle information requested by Foreign Brokers, Exchanges, Auditors and other Regulatory bodies Participate in UAT testing for
Full time
21 hours ago

Competitive"
432,"Data Warehouse System Analyst, Group Operations & Technology
Save
OCBC Bank Singapore
Perform business analysis and lead the requirements gathering with business users Assess business needs and propose feasible solutions to meet, guide & influence the desired outcomes. Perform Data Mapping, Prepare Functional Specifications & other relevant documents for Sign Offs Review Mappings and Functional Specification Ability to Independently lead solutioning, provide Solution, Effort and Schedule for various projects Work Closely with business users, project team, internal IT teams and ex
Full time
21 hours ago

Competitive"
433,"Site Reliability Engineer
Save
OCBC Bank Singapore
Work closely with solution architects, application development team to ensure adherence to best practices in design and coding w.r.t SRE principles. Monitor, troubleshoot & analyse application & underlying infrastructure performance issues as part of the performance engineering exercises and derive gold-configuration parameters. Drive thorough performance analysis of microservices code by using single-user code profiling techniques. Assist development team to tune the applications/configur
Full time
21 hours ago

Competitive"
434,"AVP, OSPL - Products Group
Save
OCBC Bank Singapore
Roles and Responsibilities : Product Manager for Fixed Income, Structured Products and ETFs Develop initiatives to enlarge target market, grow distribution and increase sales of Fixed Income, Structured Products and ETFs Provide regular trading ideas and market colors Keep abreast of key developments in credit markets, competition and regulations, and assess the potential impact of these developments. Trade execution and dealing of primary and secondary market fixed income securities
Full time
21 hours ago

Competitive"
435,"Business Data Analyst
Save
AIA Singapore Private Limited Singapore
Bring your career aspirations to life with AIA! Ready for your next career experience? At AIA, we believe in helping our employees grow, professionally and personally. New career opportunities are one way for you to learn new skills and continue to build our business that helps our customers and the community live healthier, longer, better lives. The candidate will be collaborating with stakeholders to gather business requirements and design test cases based on those requirements. He/she
Full time
21 hours ago

Competitive"
436,"Apps Support Sr Analyst / Production Support Level-2 Engineer
Save
Citi Singapore
The Apps Support Sr Analyst is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and work-flow for the area or function. Integrates subject matter and industry expertise within a defined area. Requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. Evaluates moderate
Full time
21 hours ago

Competitive"
437,"AI Lab - Web Developer (Full Stack)
Save
OCBC Bank Singapore
Job description: Develop data-driven web applications using Python and JavaScript. Contribute to scaling our data science capability through the development of smart apps. Be a thought-leader and drive innovation within the organisation. *LI-MLIU Qualifications Requirements: Degree in a quantitative subject (e.g. Computer Science, Engineering, Mathematics, or related field). Minimum 5 years of working experience developing web applications. Strong proficiency
Full time
21 hours ago

Competitive"
438,"Senior Devops Engineer
Save
OCBC Bank Singapore
Seeking highly self-motivated, experienced and dedicated team players who are passionate about building digital infrastructure. In this role, you will be part of infrastructure technology adoption team to work with various stakeholder to engineer, build and provision cloud infrastructure, DevOps tools, Develop CICD pipeline, Automated Deployment, Container Orchestration and Infrastructure as Code. Responsibilities Develop new capabilities for CI CD setup Development of scripted procedur
Full time
21 hours ago

Competitive"
439,"Balance Sheet Management Lead Analyst - Vice President
Save
Citi Singapore
Brief Description of Country Corporate Treasury: The Country Corporate Treasury team supports the Country Treasurer/CFO and ALCO on Balance Sheet Management activities, covering Liquidity, IRR and Capital management. The team is responsible for ensuring disciplined treasury practices in managing treasury risk exposures, and providing an independent oversight on liquidity risk management and contingency funding planning. The Country Corporate Treasury Team also partners with the businesses to
Full time
21 hours ago

Competitive"
440,"Finance Operations Analyst, Group Finance (1-year contract)
Save
OCBC Bank Singapore
You will be part of the Finance Operations team which is under Group Financial Control & Advisory, a department under Group Finance Division. The Finance Operations team handles general ledger operations, processing of invoices, staff expense claims and corporate card expenses. Roles and Responsibilities: 1. Process vendor invoices and payments 2. Process staff expense claims and corporate card transactions 3. Handle tax requirements relating to payments 4. Handle billing and settlem
Full time
21 hours ago

Competitive"
441,"Credit Analyst, Manager, Financial Institution Credit Risk Management
Save
OCBC Bank Singapore
Roles and Responsibilities: 1. Responsible for the pro-active management of a portfolio of regional and global accounts in diversified sectors by extending credit facilities in order to support OCBC Bank's treasury and financial institution businesses. These sectors include: banks and non-bank financial institutions which include but are not limited to insurers, securities companies and fund managers. 2. Work with trading floor/business units to structure credit facilities that mitigate the cr
Full time
21 hours ago

Competitive"
442,"Senior Technical Analyst
Save
AIA Singapore Private Limited Singapore
Bring your career aspirations to life with AIA! A Technical Analyst, Integral Life Delivery Management is responsible for the development, deployment and support of Integral Life Application to meet business requirements as well as the support and maintenance of existing solutions and development of new technical solutions to improve company's operations. Ensure that all application development performed is in-line with the Software Development Life Cycle (SDLC) and IT Governance & MAS req
Full time
21 hours ago

Competitive"
443,"Business Analyst (Regulatory & Compliance), Group Operations & Technology
Save
OCBC Bank Singapore
• Act as a SME in the respective domains with sufficient knowledge to interact, solicit requirements, and advise senior-level business users • Work very closely with business users and project team members on solutioning/project initiation, implementation and post-implementation support • Lead solutioning effort and help develop compelling and innovative solutions while complying with existing standards, guidelines, and processes • Perform Business Analysis and lead the requirements gathering
Full time
21 hours ago

Competitive"
444,"Financial Protection Specialist - Global Consumer Financial Services
Save
OCBC Bank Singapore
About OCBC Having purpose and making a real impact drives what we do at OCBC, for our customers, colleagues and the community. People count on us to deliver an amazing banking experience, but more importantly one that is uncomplicated and complements their changing lifestyle and business needs. Our employees are the architects that make this all possible; they are high performing individuals and teams, experts in their field and above all believe in our purpose and commitment to customers.
Full time
21 hours ago

Competitive"
